,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
14,15,Nathan Aké,NED,DF,Manchester City,29,1995,19.5,2,19,5,26.3,0.98,0.26,0.11,0.4,10.9,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches,July
15,16,Thiago Alcántara,ESP,MF,Liverpool,32,1991,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,September
16,17,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,18,2,30,4,13.3,1.66,0.22,0.07,0.5,24.2,3,0,0,1.8,1.5,0.05,0.2,0.5,Matches,March
17,18,Alisson,BRA,GK,Liverpool,31,1992,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,March
18,19,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,20.5,3,40,11,27.5,1.95,0.54,0.08,0.27,16.3,0,0,0,4.5,4.5,0.11,-1.5,-1.5,Matches,July
19,20,Edson Álvarez,MEX,MF,West Ham,26,1997,22.9,1,17,3,17.6,0.74,0.13,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,March
20,21,Julián Álvarez,ARG,"MF,FW",Manchester City,24,2000,26.2,8,85,33,38.8,3.24,1.26,0.08,0.21,17.9,13,1,1,10.7,10,0.12,-2.7,-3,Matches,June
21,22,Zeki Amdouni,SUI,FW,Burnley,23,2000,20.3,4,41,21,51.2,2.02,1.03,0.1,0.19,17,0,0,0,4.4,4.4,0.11,-0.4,-0.4,Matches,April
22,23,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,27,1996,7.2,0,2,0,0,0.28,0,0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,January
23,24,Joachim Andersen,DEN,DF,Crystal Palace,27,1996,31,2,19,8,42.1,0.61,0.26,0.11,0.25,13.4,1,0,0,1.3,1.3,0.07,0.7,0.7,Matches,October
24,25,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,21,2002,6.5,0,8,2,25,1.22,0.31,0,0,15,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches,March
25,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
26,26,Jaidon Anthony,ENG,FW,Bournemouth,24,1999,1.7,0,2,1,50,1.18,0.59,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,April
27,27,Michail Antonio,JAM,FW,West Ham,34,1990,13.6,4,21,10,47.6,1.54,0.73,0.19,0.4,14,0,0,0,3.8,3.8,0.18,0.2,0.2,Matches,September
28,28,Antony,BRA,FW,Manchester Utd,24,2000,12.2,0,31,7,22.6,2.54,0.57,0,0,19.3,0,0,0,1.7,1.7,0.05,-1.7,-1.7,Matches,July
29,29,Oliver Arblaster,ENG,MF,Sheffield Utd,19,2004,4.1,0,1,1,100,0.24,0.24,0,0,16.6,0,0,0,0,0,0.04,0,0,Matches,September
30,30,Cameron Archer,ENG,"FW,MF",Sheffield Utd,22,2001,16.1,4,29,7,24.1,1.8,0.43,0.14,0.57,16.2,0,0,0,3.9,3.9,0.14,0.1,0.1,Matches,December
31,31,Cameron Archer,ENG,MF,Aston Villa,22,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,December
32,32,Alphonse Areola,FRA,GK,West Ham,31,1993,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,July
33,33,Lorenz Assignon,TOG,DF,Burnley,23,2000,8.2,0,2,0,0,0.24,0,0,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,November
34,34,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,31,1992,9.3,0,6,1,16.7,0.65,0.11,0,0,16,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,May
35,35,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,1997,11.4,6,22,11,50,1.93,0.97,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,1.3,1.3,Matches,January
36,36,Jordan Ayew,GHA,"FW,MF",Crystal Palace,32,1991,26,4,45,17,37.8,1.73,0.65,0.09,0.24,17.5,0,0,0,3.8,3.8,0.08,0.2,0.2,Matches,February
37,37,Benoît Badiashile,FRA,DF,Chelsea,23,2001,8.2,0,3,1,33.3,0.36,0.12,0,0,11,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,August
38,38,Leon Bailey,JAM,"MF,FW",Aston Villa,26,1997,18.9,8,47,15,31.9,2.49,0.8,0.17,0.53,17,1,0,0,4.8,4.8,0.1,3.2,3.2,Matches,January
39,39,George Baldock,GRE,DF,Sheffield Utd,31,1993,10.8,0,1,0,0,0.09,0,0,,22.2,0,0,0,0,0,0.02,0,0,Matches,August
40,40,Carlos Baleba,CMR,MF,Brighton,20,2004,11.5,0,16,3,18.8,1.39,0.26,0,0,24.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,May
41,41,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,27,1997,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
42,42,Shandon Baptiste,GRN,MF,Brentford,26,1998,2.5,1,2,2,100,0.79,0.79,0.5,0.5,6.6,0,0,0,0.9,0.9,0.45,0.1,0.1,Matches,September
43,43,Valentín Barco,ARG,DF,Brighton,19,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,December
44,44,Ross Barkley,ENG,MF,Luton Town,30,1993,24.8,4,61,16,26.2,2.46,0.64,0.07,0.25,21.8,6,0,0,3.8,3.8,0.06,0.2,0.2,Matches,May
45,45,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,5.6,4,19,9,47.4,3.42,1.62,0.21,0.44,17.5,0,0,0,2.6,2.6,0.13,1.4,1.4,Matches,May
46,46,Chris Basham,ENG,"DF,MF",Sheffield Utd,35,1988,3.6,0,2,0,0,0.56,0,0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,December
47,47,Calvin Bassey,NGA,DF,Fulham,24,1999,19.6,1,5,1,20,0.26,0.05,0.2,1,10.1,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches,May
48,48,Owen Beck,WAL,DF,Liverpool,21,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,December
49,49,Donny van de Beek,NED,DF,Manchester Utd,26,1997,0,0,1,0,0,30,0,0,,16.1,0,0,0,0,0,0.04,0,0,Matches,September
50,50,Amari'i Bell,JAM,DF,Luton Town,29,1994,19.1,0,2,2,100,0.1,0.1,0,0,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,October
51,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
52,51,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,25,1998,9,2,14,5,35.7,1.56,0.56,0.14,0.4,17.2,0,0,0,1.4,1.4,0.1,0.6,0.6,Matches,November
53,52,Anis Ben Slimane,TUN,MF,Sheffield Utd,23,2001,4.1,0,6,3,50,1.46,0.73,0,0,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,August
54,53,Saïd Benrahma,ALG,"FW,MF",West Ham,28,1995,6.9,0,18,5,27.8,2.61,0.73,0,0,19.8,0,0,1,1.8,1,0.06,-1.8,-1,Matches,January
55,54,Rodrigo Bentancur,URU,MF,Tottenham,26,1997,7.5,1,11,2,18.2,1.48,0.27,0.09,0.5,15.1,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches,November
56,55,Daniel Bentley,ENG,GK,Wolves,30,1993,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,December
57,56,Jóhann Berg Guðmundsson,ISL,MF,Burnley,33,1990,12,0,10,3,30,0.83,0.25,0,0,15.3,1,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,April
58,57,Sander Berge,NOR,MF,Burnley,26,1998,27.4,1,22,3,13.6,0.8,0.11,0.05,0.33,16.4,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,July
59,58,Luke Berry,ENG,"MF,DF",Luton Town,31,1992,1.9,1,4,1,25,2.13,0.53,0.25,1,9.9,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches,December
60,59,Beto,GNB,FW,Everton,26,1998,9.2,3,37,10,27,4.03,1.09,0.08,0.3,15,0,0,1,5.5,4.7,0.13,-2.5,-1.7,Matches,June
